InChIKey,all_plants,pubchem_cid,name,chebi,chembl,iupac,smiles,chebi_roles,activity
KSEBMYQBYZTDHS-HWKANZROSA-N,"Althaea armeniaca, Althaea officinalis, Anethum graveolens, Arachis hypogaea, Artemisia absinthium, Beta vulgaris, Capsicum annuum, Chelidonium majus, Coriandrum sativum, Crataegus oxyacantha, Digitalis ferruginea, Equisetum arvense, Fagopyrum esculentum, Ferula assa, Fumaria officinalis, Gymnadenia conopsea, Hordeum vulgare, Hyssopus officinalis, Juglans regia, Levisticum officinale, Linum usitatissimum, Malus sylvestris, Melissa officinalis, Menyanthes trifoliata, Origanum vulgare, Oryza sativa, Panax ginseng, Petroselinum crispum, Picea abies, Pimpinella anisum, Pinus sylvestris, Plantago major, Polygonum aviculare, Polygonum bistorta, Polygonum hydropiper, Populus nigra, Prunus armeniaca, Prunus cerasus, Prunus domestica, Prunus persica, Punica granatum, Quercus petraea, Quercus robur, Rhaponticum carthamoides, Ribes nigrum, Rubus chamaemorus, Rubus idaeus, Sesamum indicum, Sophora pachycarpa, Trigonella foenum, Vaccinium myrtillus, Zea mays",445858,Ferulic Acid,CHEBI:17620,CHEMBL32749,(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,antioxidant; Bronsted acid; plant metabolite; apoptosis inhibitor; MALDI matrix material; anti-inflammatory agent; cardioprotective agent; neuroprotective agent,"Allelopathic, Analgesic, Antiaggregant, Antiallergic, Antiarrhythmic, Antibacterial, Anticancer (Colon), Anticancer (Forestomach), Anticancer (Liver), Anticancer (Skin), Anticarcinogenic, Antidysmenorrheic, Antiestrogenic, Antihepatotoxic, Antiherpetic, Antiinflammatory, Antileukemic, Antimitotic, Antimutagenic, Antineoplastic"
IKGXIBQEEMLURG-UHFFFAOYSA-N,"Artemisia cina, Artemisia vulgaris, Berberis vulgaris, Beta vulgaris, Calendula officinalis, Citrus unshiu, Coriandrum sativum, Crataegus sanguinea, Cucurbita pepo, Cydonia oblonga, Fagopyrum esculentum, Helichrysum arenarium, Hyoscyamus niger, Hypericum perforatum, Juniperus communis, Juniperus sabina, Morus nigra, Nerium oleander, Picea abies, Plantago major, Polygala amarella, Polygonum hydropiper, Prunus armeniaca, Prunus domestica, Prunus persica, Ribes nigrum, Ribes rubrum, Rubia tinctorum, Rubus idaeus, Ruta graveolens, Sambucus nigra, Trigonella foenum, Verbascum phlomoides",5293655,Vitamin P,CHEBI:91643,CHEMBL32579,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxychromen-4-one",CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,,
PCMORTLOPMLEFB-ONEGZZNKSA-N,"Althaea armeniaca, Althaea officinalis, Brassica juncea, Fagopyrum esculentum, Hordeum vulgare, Iris florentina, Iris germanica, Juglans regia, Linum usitatissimum, Malus sylvestris, Menyanthes trifoliata, Oryza sativa, Panax ginseng, Polygonum aviculare, Polygonum bistorta, Polygonum hydropiper, Prunus armeniaca, Prunus cerasus, Prunus domestica, Prunus persica, Rhaponticum carthamoides, Zea mays",637775,"4-Hydroxy-3,5-dimethoxycinnamic acid",CHEBI:15714,CHEMBL109341,"(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoic acid",COC1=CC(=CC(=C1O)OC)/C=C/C(=O)O,Bronsted acid; plant metabolite; MALDI matrix material,
OVSQVDMCBVZWGM-UHFFFAOYSA-N,"Arachis hypogaea, Artemisia vulgaris, Berberis vulgaris, Calendula officinalis, Crataegus oxyacantha, Equisetum arvense, Fagopyrum esculentum, Glycyrrhiza glabra, Glycyrrhiza uralensis, Helichrysum arenarium, Hypericum perforatum, Juglans regia, Juniperus sabina, Laurus nobilis, Morus nigra, Panax ginseng, Picea abies, Plantago major, Polygonum hydropiper, Populus balsamifera, Prunus armeniaca, Prunus cerasus, Prunus padus, Quercus petraea, Rhododendron tomentosum, Ribes nigrum, Rosa damascena, Rosa davurica, Rosa gallica, Rubia tinctorum, Rubus idaeus, Sambucus nigra, Vaccinium myrtillus, Vaccinium vitis, Zea mays",5378597,"2-(3,4-Dihydroxyphenyl)-5,7-Dihydroxy-3-(3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl)Oxychromen-4-One",none,CHEMBL33027,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,,
QAIPRVGONGVQAS-DUXPYHPUSA-N,"Althaea armeniaca, Althaea officinalis, Anethum graveolens, Arachis hypogaea, Artemisia absinthium, Artemisia cina, Berberis vulgaris, Beta vulgaris, Capsicum annuum, Carum carvi, Centaurea cyanus, Chamaemelum nobile, Chelidonium majus, Coriandrum sativum, Crataegus oxyacantha, Digitalis purpurea, Equisetum arvense, Fumaria officinalis, Gossypium barbadense, Helianthus annuus, Helichrysum arenarium, Hordeum vulgare, Hypericum perforatum, Hyssopus officinalis, Juglans regia, Laurus nobilis, Malus sylvestris, Marrubium vulgare, Melissa officinalis, Menyanthes trifoliata, Origanum vulgare, Oryza sativa, Pelargonium roseum, Petroselinum crispum, Pimpinella anisum, Pinus sylvestris, Polygonum aviculare, Polygonum bistorta, Polygonum hydropiper, Populus nigra, Potentilla erecta, Prunus armeniaca, Prunus cerasus, Prunus domestica, Prunus persica, Punica granatum, Rhaponticum carthamoides, Rhodiola rosea, Ribes nigrum, Rubus chamaemorus, Rubus idaeus, Salvia sclarea, Tanacetum coccineum, Taraxacum officinale, Thymus serpyllum, Trigonella foenum, Vaccinium myrtillus, Vaccinium vitis, Viburnum opulus, Zea mays",689043,Caffeic Acid,CHEBI:36281,CHEMBL145,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",C1=CC(=C(C=C1/C=C/C(=O)O)O)O,antioxidant; Bronsted acid; EC 2.5.1.18 (glutathione transferase) inhibitor; EC 1.13.11.33 (arachidonate 15-lipoxygenase) inhibitor; EC 3.5.1.98 (histone deacetylase) inhibitor; plant metabolite; EC 1.13.11.34 (arachidonate 5-lipoxygenase) inhibitor,"Aldose-Reductase-Inhibitor, Allergenic, Analgesic, Antiadenoviral, Antiaggregant, Antiaging, Antiatherogenic, Antibacterial, Anticancer, Anticarcinogenic, Antidepressant, Antiedemic, Antielastase, Antielastase, Antiescherichic, Antiflu, Antigonadotropic, Antihemolytic, Antihepatoadenomic, Antihepatotoxic"
OVSQVDMCBVZWGM-QSOFNFLRSA-N,"Arachis hypogaea, Berberis vulgaris, Calendula officinalis, Equisetum arvense, Glycyrrhiza glabra, Glycyrrhiza uralensis, Helichrysum arenarium, Hypericum perforatum, Laurus nobilis, Malus sylvestris, Morus nigra, Panax ginseng, Picea abies, Polygonum hydropiper, Populus balsamifera, Prunus armeniaca, Prunus cerasus, Prunus persica, Quercus petraea, Ribes nigrum, Ribes rubrum, Rosa damascena, Rosa gallica, Rubus chamaemorus, Rubus idaeus, Sambucus nigra, Vaccinium myrtillus",5280804,Isoquercetin,CHEBI:68352,CHEMBL250450,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,antioxidant; osteogenesis regulator; plant metabolite; antiviral agent; histamine antagonist; antipruritic drug; bone density conservation agent; geroprotector; anti-anaemic agent; antineoplastic agent,"Antiretroviral, Antiviral, Pesticide"
NGSWKAQJJWESNS-ZZXKWVIFSA-N,"Althaea armeniaca, Althaea officinalis, Anethum graveolens, Arachis hypogaea, Beta vulgaris, Capsicum annuum, Carum carvi, Chelidonium majus, Coriandrum sativum, Crataegus oxyacantha, Crocus sativus, Cucurbita pepo, Ephedra equisetina, Equisetum arvense, Fagopyrum esculentum, Fumaria officinalis, Gymnadenia conopsea, Hordeum vulgare, Humulus lupulus, Hyssopus officinalis, Juglans regia, Laurus nobilis, Malus sylvestris, Marrubium vulgare, Melissa officinalis, Menyanthes trifoliata, Origanum vulgare, Oryza sativa, Panax ginseng, Papaver somniferum, Petroselinum crispum, Picea abies, Pimpinella anisum, Pinus sylvestris, Plantago major, Polygonum aviculare, Polygonum bistorta, Polygonum hydropiper, Populus balsamifera, Populus nigra, Potentilla erecta, Prunus armeniaca, Prunus cerasus, Prunus domestica, Prunus persica, Punica granatum, Quercus robur, Rhaponticum carthamoides, Rhodiola rosea, Ribes nigrum, Ribes rubrum, Rubus chamaemorus, Rubus idaeus, Sophora pachycarpa, Thymus vulgaris, Vaccinium myrtillus, Vaccinium vitis, Viburnum opulus, Zea mays",637542,P-Coumaric Acid,CHEBI:32374,CHEMBL66879,(E)-3-(4-hydroxyphenyl)prop-2-enoic acid,C1=CC(=CC=C1/C=C/C(=O)O)O,Bronsted acid; food component; mouse metabolite; plant metabolite,"Aldose-Reductase-Inhibitor, Allelopathic, Antibacterial, Anticlastogen, Antifertility, Antihepatotoxic, Antileukemic, Antinitrosaminic, Antioxidant, Antioxidant, Antiperoxidant, Antiseptic, Antispasmodic, Antitumor, Cancer-Preventive, Chemopreventive, Choleretic, Cytotoxic, Diaphoretic?, Fungicide"
CWVRJTMFETXNAD-JUHZACGLSA-N,"Anethum graveolens, Arachis hypogaea, Arctium lappa, Arnica montana, Artemisia absinthium, Berberis vulgaris, Beta vulgaris, Capsicum annuum, Centaurea cyanus, Coriandrum sativum, Crataegus oxyacantha, Cydonia oblonga, Dryopteris filix, Equisetum arvense, Eucalyptus globulus, Fumaria officinalis, Gossypium barbadense, Helianthus annuus, Helichrysum arenarium, Hordeum vulgare, Humulus lupulus, Hypericum perforatum, Juglans regia, Linum usitatissimum, Malus sylvestris, Marrubium vulgare, Nicotiana tabacum, Origanum vulgare, Pelargonium roseum, Plantago major, Polygonum hydropiper, Potentilla erecta, Prunus armeniaca, Prunus cerasus, Prunus domestica, Prunus dulcis, Prunus laurocerasus, Prunus padus, Prunus persica, Punica granatum, Rhaponticum carthamoides, Ribes nigrum, Ribes rubrum, Rubia tinctorum, Sanguisorba officinalis, Tanacetum coccineum, Taraxacum officinale, Thymus vulgaris, Trigonella foenum, Urtica dioica, Vaccinium myrtillus, Viburnum opulus, Zea mays",1794427,Chlorogenic Acid,CHEBI:16112,CHEMBL284616,"(1S,3R,4R,5R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,4,5-trihydroxycyclohexane-1-carboxylic acid",C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,plant metabolite; food component; antineoplastic agent; astringent,"Aldose-Reductase-Inhibitor, Allelochemic, Allergenic, Analgesic, Antiatherosclerotic, Antibacterial, Anticancer (Colon), Anticancer (Forestomach), Anticancer (Liver), Anticancer (Skin), Anticarcinogenic, Antidiabetic, AntiEBV, Antifeedant, Antigenotoxic, Antigonadotropic, Antihemolytic, Antihepatotoxic, Antiherpetic, Antihistaminic"
YQUVCSBJEUQKSH-UHFFFAOYSA-N,"Althaea armeniaca, Althaea officinalis, Beta vulgaris, Carum carvi, Coriandrum sativum, Crataegus oxyacantha, Crocus sativus, Ephedra equisetina, Equisetum arvense, Fagopyrum esculentum, Fumaria officinalis, Hordeum vulgare, Hypericum perforatum, Iris florentina, Iris germanica, Juglans regia, Laurus nobilis, Malus sylvestris, Melissa officinalis, Menyanthes trifoliata, Origanum vulgare, Oryza sativa, Pinus sylvestris, Polygonum aviculare, Polygonum bistorta, Polygonum hydropiper, Prunus armeniaca, Prunus cerasus, Prunus domestica, Prunus dulcis, Punica granatum, Rhaponticum carthamoides, Rosa roxburghii, Schisandra chinensis, Sophora pachycarpa, Taraxacum officinale, Thymus vulgaris, Trigonella foenum, Vaccinium myrtillus, Zea mays",72,Protocatechuic Acid,CHEBI:36062,CHEMBL37537,"3,4-dihydroxybenzoic acid",C1=CC(=C(C=C1C(=O)O)O)O,Bronsted acid; human xenobiotic metabolite; EC 1.1.1.25 (shikimate dehydrogenase) inhibitor; EC 1.14.11.2 (procollagen-proline dioxygenase) inhibitor; plant metabolite; antineoplastic agent,"Allergenic, Alpha-Glucosidase-Inhibitor, Antiarrhythmic, Antiasthmatic, Antibacterial, Anticlastogen, Antihepatotoxic, Antiherpetic, Antiinflammatory, Antiischemic, AntiLegionella, Antileukemic, Antimelanogenic, Antimutagenic, Antiophidic, Antioxidant, Antioxidant, Antioxidant, Antiperoxidant, Antiperoxidant"
OYHQOLUKZRVURQ-HZJYTTRNSA-N,"Acorus calamus, Althaea armeniaca, Althaea officinalis, Anethum graveolens, Arachis hypogaea, Bidens tripartita, Citrullus colocynthis, Cucurbita pepo, Datura stramonium, Dryopteris filix, Fagopyrum esculentum, Fagus sylvatica, Hordeum vulgare, Humulus lupulus, Hypericum perforatum, Linum usitatissimum, Malus sylvestris, Malva sylvestris, Nicotiana tabacum, Oryza sativa, Peganum harmala, Prunus armeniaca, Prunus cerasus, Prunus laurocerasus, Prunus persica, Ribes nigrum, Sesamum indicum, Taraxacum officinale, Trigonella foenum, Zea mays",5280450,Linoleic Acid,CHEBI:17351,CHEMBL267476,"(9Z,12Z)-octadeca-9,12-dienoic acid",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,Bronsted acid; algal metabolite; anti-obesity agent; plant metabolite; Daphnia galeata metabolite; hypoglycemic agent; antineoplastic agent; anti-asthmatic agent,"5-Alpha-Reductase-Inhibitor, Antiacne, Antialopecic, Antianaphylactic, Antiandrogenic, Antiarteriosclerotic, Antiarthritic, Anticoronary, Antieczemic, Antifibrinolytic, Antigranular, Antihistaminic, Antiinflammatory, Antileukotriene-D4, Antimenorrhagic, AntiMS, Antiprostatitic, Cancer-Preventive, Carcinogenic, Comedolytic"
